dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmedian,1e-05,4,290.7962773449018,0.23901999999999998,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=1.txt
Synthetic,10,kmedian,1e-05,3,0.0,0.048974300000000026,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=2.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.06763469999999999,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=3.txt
Synthetic,10,kmedian,1e-05,3,0.0,0.07534039999999997,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=4.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.06794860000000003,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=5.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.10274860000000008,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=6.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.06476749999999998,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=7.txt
Synthetic,10,kmedian,1e-05,3,295.8886530943578,0.06493660000000001,8,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=8.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.12784529999999994,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=9.txt
Synthetic,10,kmedian,1e-05,4,0.0,0.07456640000000014,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1e-05__lmb=10__seed=10.txt
Synthetic,10,kmeans,1e-05,4,373.44601767942413,0.10791040000000018,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=1.txt
Synthetic,10,kmeans,1e-05,3,0.0,0.1198401,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=2.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.0751366,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=3.txt
Synthetic,10,kmeans,1e-05,3,0.0,0.14556479999999983,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=4.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.09766779999999997,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=5.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.0842217999999999,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=6.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.17389520000000003,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=7.txt
Synthetic,10,kmeans,1e-05,3,373.2395175576885,0.09020649999999986,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=8.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.15139109999999967,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=9.txt
Synthetic,10,kmeans,1e-05,4,0.0,0.1190007000000004,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=1e-05__lmb=10__seed=10.txt
Synthetic,10,ncut,1e-05,4,0.0,0.24819499999999994,1,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=1.txt
Synthetic,10,ncut,1e-05,4,-2.2999999999999834e+17,0.15288129999999978,2,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=2.txt
Synthetic,10,ncut,1e-05,4,0.0,0.20484300000000033,3,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=3.txt
Synthetic,10,ncut,1e-05,4,-2.2999999999999834e+17,0.09485619999999972,4,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=4.txt
Synthetic,10,ncut,1e-05,4,0.0,0.20728020000000003,5,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=5.txt
Synthetic,10,ncut,1e-05,4,0.0,0.09387590000000001,6,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=6.txt
Synthetic,10,ncut,1e-05,4,0.0,0.1456107999999996,7,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=7.txt
Synthetic,10,ncut,1e-05,3,-2.0,0.15444429999999976,8,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=8.txt
Synthetic,10,ncut,1e-05,4,0.0,0.09279629999999983,9,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=9.txt
Synthetic,10,ncut,1e-05,4,0.0,0.19307189999999963,10,Synthetic\Lipschitz_energy_list_logs\ncut__L=1e-05__lmb=10__seed=10.txt
Synthetic,10,kmedian,0.0001,4,290.7962773449018,0.11656439999999968,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=1.txt
Synthetic,10,kmedian,0.0001,3,0.0,0.09752739999999971,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=2.txt
Synthetic,10,kmedian,0.0001,10000,293.9313879216652,6.8078261,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=3.txt
Synthetic,10,kmedian,0.0001,3,0.0,0.08558909999999997,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=4.txt
Synthetic,10,kmedian,0.0001,5,288.6720925971107,0.10839130000000097,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=5.txt
Synthetic,10,kmedian,0.0001,8,288.94499682947696,0.12346799999999902,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=6.txt
Synthetic,10,kmedian,0.0001,5,290.3165286627476,0.10943579999999997,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=7.txt
Synthetic,10,kmedian,0.0001,3,295.8886530943578,0.14534259999999932,8,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=8.txt
Synthetic,10,kmedian,0.0001,4,290.0294137310311,0.11489320000000092,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=9.txt
Synthetic,10,kmedian,0.0001,4,0.0,0.10698790000000002,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=10.txt
Synthetic,10,kmeans,0.0001,4,373.44601767942413,0.14390130000000134,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=1.txt
Synthetic,10,kmeans,0.0001,3,0.0,0.10948319999999967,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=2.txt
Synthetic,10,kmeans,0.0001,6,369.85578407459406,0.14555589999999974,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=3.txt
Synthetic,10,kmeans,0.0001,3,0.0,0.1332310999999997,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=4.txt
Synthetic,10,kmeans,0.0001,8,370.2859908102199,0.11940230000000085,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=5.txt
Synthetic,10,kmeans,0.0001,5,368.9509367164592,0.1641931000000003,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=6.txt
Synthetic,10,kmeans,0.0001,7,367.59690614585406,0.1440310999999994,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=7.txt
Synthetic,10,kmeans,0.0001,3,373.2395175576885,0.12043919999999986,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=8.txt
Synthetic,10,kmeans,0.0001,4,369.83868398342645,0.17190369999999966,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=9.txt
Synthetic,10,kmeans,0.0001,4,0.0,0.11946230000000035,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=10.txt
